Auftragsname,Wörter,Zeit,Von,Sprache,Übersetzung,Korrektur,Kanal,Ablageort,Eingang,Lieferdatum,Deadline,Abteilung,Status,Verantwortlich,Bereich
"5374_es-ES_reparatur_service_20260730-110315,247,,AGI,ES,Alba,Helena,LS-Tracker,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.07"",7/30/2026,8/7/2026,8/7/2026,Channel Sales,geliefert,Hme,"
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,EN,John,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,Es,Helena,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,Fr,Marie,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,It,Laura,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,Nl,Angelique,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,Pl,Yabylon,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
FappSettings_20260730_de-<Zielsprachkürzel>.xliff,1367,,KNu,SL,Yabylon,,jazz,Z:\Produkte\F!Apps\Apps_allgemein\Settings\<Zielsprache>\2026.07,7/30/2026,8/3/2026,8/4/2026,User Interface & Clients,geliefert,FSc,
KW34_Back2Work_Uni_Deals translation - ITA.docx,308,,JFI,IT,Cristina,Laura,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/11/2026,8/11/2026,D2C Ecommerce,geliefert,Lbo,
KW34_Back2Work_Uni_Deals translation.docx,476,,JFI,ES,Alba,Helena,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.08,7/30/2026,8/11/2026,8/11/2026,D2C Ecommerce,geliefert,Lbo,
KW34_Back2Work_Uni_Deals translation.docx,476,,JFI,NL,Angelique,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.09,7/30/2026,8/11/2026,8/11/2026,D2C Ecommerce,geliefert,Lbo,
"Netzwerkupgrade-de.docx,330,,JFI,IT,Cristina,Laura,LS-Tracker,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.08"",7/30/2026,8/5/2026,8/6/2026,D2C Ecommerce,geliefert,Hme,"
"Netzwerkupgrade-de.docx,330,,JFI,NL,Angelique,,LS-Tracker,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.08"",7/30/2026,8/5/2026,8/6/2026,D2C Ecommerce,geliefert,Hme,"
"Netzwerkupgrade-de.docx,330,,JFI,ES,Alba,Helena,LS-Tracker,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.08"",7/30/2026,8/5/2026,8/6/2026,D2C Ecommerce,geliefert,Hme,"
Gaming_Flight-translations-[Sprache]-COLLECTION.json,8,,KGO,EN,John,Susan,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-ONLINE_STORE_THEME.json,288,,KGO,EN,John,Susan,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-COLLECTION.json,8,,KGO,ES,Alba,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-ONLINE_STORE_THEME.json,290,,KGO,ES,Alba,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-COLLECTION.json,8,,KGO,FR,Martine,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-ONLINE_STORE_THEME.json,290,,KGO,FR,Martine,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-COLLECTION.json,8,,KGO,IT,Laura,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-ONLINE_STORE_THEME.json,290,,KGO,IT,Laura,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-COLLECTION.json,8,,KGO,NL,Angelique,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
Gaming_Flight-translations-[Sprache]-ONLINE_STORE_THEME.json,290,,KGO,NL,Angelique,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.07\KW 31,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2027-07-30_Q3 Gaming Flight_Bannertexte fuer Übersetzungen.docx,17,,KGO,ES,Alba,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2027-07-30_Q3 Gaming Flight_Bannertexte fuer Übersetzungen.docx,17,,KGO,FR,Martine,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2027-07-30_Q3 Gaming Flight_Bannertexte fuer Übersetzungen.docx,17,,KGO,IT,Laura,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2027-07-30_Q3 Gaming Flight_Bannertexte fuer Übersetzungen.docx,17,,KGO,NL,Angelique,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2026-07-30_Q3_Gaming Kampagne_LP_Amazon_Texte_Final.docx,175,,KGO,ES,Alba,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2026-07-30_Q3_Gaming Kampagne_LP_Amazon_Texte_Final.docx,175,,KGO,FR,Martine,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2026-07-30_Q3_Gaming Kampagne_LP_Amazon_Texte_Final.docx,175,,KGO,IT,Laura,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
2026-07-30_Q3_Gaming Kampagne_LP_Amazon_Texte_Final.docx,175,,KGO,NL,Angelique,,LS-Tracker,Z:\Produkte\D2C\<Sprache>\2026.07,7/30/2026,8/6/2026,8/6/2026,D2C Ecommerce,geliefert,Lbo,
cloud-mailing_confirmation_tv1_de.properties,130,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv1_de.properties,130,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv1_de.properties,130,,MxG,Fr,Martine,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv1_de.properties,130,,MxG,It,Laura,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv1_de.properties,130,,MxG,Nl,Angelique,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv2_box_de.properties,151,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv2_box_de.properties,151,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_box_de.properties,151,,MxG,Fr,Martine,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_box_de.properties,151,,MxG,It,Laura,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_box_de.properties,151,,MxG,Nl,Angelique,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_repeater_de.properties,187,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation_tv2_repeater_de.properties,187,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_repeater_de.properties,187,,MxG,Fr,Martine,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_repeater_de.properties,187,,MxG,It,Laura,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation_tv2_repeater_de.properties,187,,MxG,Nl,Angelique,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_box_de.properties,83,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation-automatic_tv1_box_de.properties,83,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_box_de.properties,83,,MxG,Fr,Martine,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_box_de.properties,83,,MxG,It,Laura,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_box_de.properties,83,,MxG,Nl,Angelique,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_repeater_de.properties,83,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation-automatic_tv1_repeater_de.properties,83,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_repeater_de.properties,83,,MxG,Fr,Martine,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_repeater_de.properties,83,,MxG,It,Laura,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-automatic_tv1_repeater_de.properties,83,,MxG,Nl,Angelique,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
cloud-mailing_confirmation-email-change_tv1_de.properties,125,,MxG,EN,Susan,,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,ausgecheckt,FSc,
cloud-mailing_confirmation-email-change_tv1_de.properties,125,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\MyFRITZ\deutsch\2026.04\SieDu-1\Du,7/31/2026,8/7/2026,8/7/2026,IT,Ü-fertig,FSc,
